# t,xt0,xt1,xt2,xt3,xt4,xt5,xc0,xc1,xc2,xc3,xc4,xc5,dist,b_obs
1.387500000000000000e+02,2.903826859511177361e+00,1.852079954378705429e+00,6.045227110419009868e-06,-8.964064289157452426e-04,-4.872560244903325981e-04,-1.005582477637603394e-05,3.057216882450425111e+00,2.234191671139531099e+00,-1.965582791157448606e+00,-2.264249766328899505e-03,-3.723141763040007496e-04,3.639027206004537621e-03,4.117497580123252732e-01,1.438685158756974457e-03
1.388000000000000114e+02,2.903782191619820097e+00,1.852055674426993814e+00,5.545545627936646614e-06,-8.903092253793362231e-04,-4.839420439735172197e-04,-9.931434522918496249e-06,3.057103972263698122e+00,2.234173119877581826e+00,-1.965400990725384878e+00,-2.252157702754493344e-03,-3.697363016733426228e-04,3.632990076543600021e-03,4.117296571021967777e-01,1.435806757031155836e-03
1.388499999999999943e+02,2.903737828317470626e+00,1.852031560026992540e+00,5.052064983496395202e-06,-8.842228685967876405e-04,-4.806339560780262688e-04,-9.807791254691551760e-06,3.056991667074222541e+00,2.234154697363547548e+00,-1.965219494897658681e+00,-2.240049876271525426e-03,-3.671642596901024402e-04,3.626843032502010018e-03,4.117096442659707867e-01,1.432914402508531472e-03
1.389000000000000057e+02,2.903693769053024898e+00,1.852007610879304433e+00,4.564747785655187305e-06,-8.781477092392033033e-04,-4.773319514490905759e-04,-9.684896658956747181e-06,3.056879967647670338e+00,2.234136403302271479e+00,-1.965038309154611307e+00,-2.227927185817125347e-03,-3.645981913515065204e-04,3.620586689390685887e-03,4.116897198601310870e-01,1.430008130758865081e-03
1.389500000000000171e+02,2.903650013257988327e+00,1.851983826675078104e+00,4.083556561123943405e-06,-8.720840922266729885e-04,-4.740362176055799848e-04,-9.562752322292981710e-06,3.056768874704943517e+00,2.234118237391609973e+00,-1.964857438945570411e+00,-2.215790523246825676e-03,-3.620382351040567930e-04,3.614221672241702769e-03,4.116698842330865915e-01,1.427087977580674674e-03
1.390000000000000000e+02,2.903606560346763121e+00,1.851960207096163824e+00,3.608453759766954796e-06,-8.660323567791666267e-04,-4.707469389676694274e-04,-9.441359731986559255e-06,3.056658388922529390e+00,2.234100199322560876e+00,-1.964676889688378392e+00,-2.203640773324844031e-03,-3.594845268680108919e-04,3.607748615437412869e-03,4.116501377252004823e-01,1.424153978989777533e-03
1.390500000000000114e+02,2.903563409716932053e+00,1.851936751815267623e+00,3.139401759531874952e-06,-8.599928364671971179e-04,-4.674642968843785809e-04,-9.320720277416646340e-06,3.056548510932853180e+00,2.234082288779387415e+00,-1.964496666768928979e+00,-2.191478813718272627e-03,-3.569372000638433009e-04,3.601168162540740927e-03,4.116304806688166895e-01,1.421206171214184268e-03
1.390999999999999943e+02,2.903520560749538681e+00,1.851913460496104058e+00,2.676362871310565904e-06,-8.539658592622490678e-04,-4.641884696609841843e-04,-9.200835251435720668e-06,3.056439241324635514e+00,2.234064505439744774e+00,-1.964316775540712268e+00,-2.179305514991340242e-03,-3.543963856352373254e-04,3.594480966126412103e-03,4.116109133882931981e-01,1.418244590680049289e-03
1.391500000000000057e+02,2.903478012809367570e+00,1.851890332793547866e+00,2.219299343731068128e-06,-8.479517475869712776e-04,-4.609196325863042037e-04,-9.081705851744188704e-06,3.056330580643245920e+00,2.234046848974802213e+00,-1.964137221324368854e+00,-2.167121740595187758e-03,-3.518622120756493459e-04,3.587687687611022802e-03,4.115914362000304139e-01,1.415269274013339611e-03
1.392000000000000171e+02,2.903435765245218736e+00,1.851867368353784293e+00,1.768173367880998037e-06,-8.419508183651353700e-04,-4.576579579598542228e-04,-8.963333182258609847e-06,3.056222529391058984e+00,2.234029319049363860e+00,-1.963958009407251515e+00,-2.154928346873779665e-03,-3.493348054503200742e-04,3.580788997086814269e-03,4.115720494125022499e-01,1.412280258027943979e-03
1.392500000000000000e+02,2.903393817390182985e+00,1.851844566814457416e+00,1.322947081962705961e-06,-8.359633830713550243e-04,-4.544036151188750859e-04,-8.845718254473069813e-06,3.056115088027810955e+00,2.234011915321992170e+00,-1.963779145042995555e+00,-2.142726183052973132e-03,-3.468142894207501461e-04,3.573785573152409977e-03,4.115527533262912652e-01,1.409277579710964141e-03
1.393000000000000114e+02,2.903352168561911473e+00,1.851821927804817802e+00,8.835825758805497218e-07,-8.299897477805706983e-04,-4.511567704652311400e-04,-8.728861988813183125e-06,3.056008256970953685e+00,2.233994637445124720e+00,-1.963600633451098032e+00,-2.130516091241327695e-03,-3.443007852699009374e-04,3.566678102746101333e-03,4.115335482341186402e-01,1.406261276230659669e-03
1.393499999999999943e+02,2.903310818062886600e+00,1.851799450945868841e+00,4.500418957606651968e-07,-8.240302132172928982e-04,-4.479175874921786449e-04,-8.612765215982199569e-06,3.055902036596012117e+00,2.233977485065195001e+00,-1.963422479816504973e+00,-2.118298906428978980e-03,-3.417944119229761714e-04,3.559467280979650324e-03,4.115144344208802041e-01,1.403231384913334722e-03
1.394000000000000057e+02,2.903269765180686246e+00,1.851777135850511291e+00,2.228704840364492690e-08,-8.180850748046101769e-04,-4.446862268110051623e-04,-8.497428678298613212e-06,3.055796427236939561e+00,2.233960457822747436e+00,-1.963244689289206146e+00,-2.106075456480226236e-03,-3.392952859757321729e-04,3.552153810971119419e-03,4.114954121636794637e-01,1.400187943249591067e-03
1.394500000000000171e+02,2.903229009188248444e+00,1.851754982123686499e+00,-3.997199943294499311e-07,-8.121546227129537287e-04,-4.414628461775376485e-04,-8.382853031025179122e-06,3.055691429186473851e+00,2.233943555352555066e+00,-1.963067266983839820e+00,-2.093846562143385995e-03,-3.368035217127937284e-04,3.544738403681201282e-03,4.114764817318646295e-01,1.397130988875081763e-03
1.395000000000000000e+02,2.903188549344132952e+00,1.851732989362519177e+00,-8.160172911972973106e-07,-8.062391419086232429e-04,-4.382476005185200634e-04,-8.269038843688717751e-06,3.055587042696494393e+00,2.233926777283733678e+00,-1.962890217979304186e+00,-2.081613037040473072e-03,-3.343192311353603311e-04,3.537221777746502732e-03,4.114576433870636429e-01,1.394060559573537597e-03
1.395500000000000114e+02,2.903148384892780154e+00,1.851711157156457288e+00,-1.226642927324272595e-06,-8.003389122020711970e-04,-4.350406419578602786e-04,-8.155986601390303805e-06,3.055483267978376549e+00,2.233910123239855938e+00,-1.962713547318377660e+00,-2.069375687677524334e-03,-3.318425239796185902e-04,3.529604659317197180e-03,4.114388973832217022e-01,1.390976693263878960e-03
1.395999999999999943e+02,2.903108515064767747e+00,1.851689485087412379e+00,-1.631635010011672453e-06,-7.944542082959460232e-04,-4.318421198427446045e-04,-8.043696706105690520e-06,3.055380105203348684e+00,2.233893592839062858e+00,-1.962537260007347406e+00,-2.057135313439626984e-03,-3.293735077448811796e-04,3.521887781892035080e-03,4.114202439666371780e-01,1.387879427998065223e-03
1.396500000000000057e+02,2.903068939077064314e+00,1.851667972729897027e+00,-2.031031664613700990e-06,-7.885852998328924139e-04,-4.286521807696216176e-04,-7.932169477975445867e-06,3.055277554502847881e+00,2.233877185694176593e+00,-1.962361361015646288e+00,-2.044892706592961636e-03,-3.269122877137231836e-04,3.514071886156057943e-03,4.114016833760018588e-01,1.384768801945401341e-03
